,href,main,text,date,main_clean,main_lemm
300,https://russian.rt.com/business/news/1056871-moskva-biznes-ekonomika,В Москве оборот предприятий торговли и услуг превысил 11 трлн рублей за восемь месяцев,"Об этом информирует НСН.
«Выручка предприятий торговли за восемь месяцев выросла на 25,3% по сравнению с тем же периодом прошлого года и составила 5,1 трлн рублей. Например, объём продаж непродовольственной торговли прибавил сразу 50,2%, достигнув 3,5 трлн рублей. Продовольственная торговля показала прирост в 7,6% — до 887,8 млрд рублей», — уточнил заммэра.
По словам Ефимова, предприятия сферы услуг за этот период нарастили оборот на 19,3% — он приблизился к 6,2 трлн рублей.
Ранее телеканал «360» сообщал, что в подмосковных Люберцах в сентябре состоялся Межрегиональный форум «Женский бизнес. Путь к успеху».",2022-10-04,в москве оборот предприятий торговли и услуг превысил трлн рублей за восемь месяцев,москва оборот предприятие торговля услуга превысить трлн рубль восемь месяц
301,https://russian.rt.com/business/news/1056452-moskva-investicii-biznes,"Инвестиции в экономику Москвы превысили 1,9 трлн рублей в I полугодии","Об этом пишет ИА REGNUM.
Инвестиции крупного и среднего бизнеса за январь — июнь составили 1,7 трлн рублей. Больше всего средств столичные компании инвестировали в машины и оборудование — 32,4% от общей суммы.
Ранее НСН сообщала, что Москва заключила контракты на 976 млрд рублей с начала года.",2022-10-03,инвестиции в экономику москвы превысили трлн рублей в i полугодии,инвестиция экономика москва превысить трлн рубль i полугодие
302,https://russian.rt.com/russia/news/1056463-region-biznes-podderzhka,Бизнес-омбудсмен Подмосковья получил почти 2000 обращений с начала года,"Об этом сообщает интернет-издание «Подмосковье сегодня» со ссылкой на пресс-службу бизнес-омбудсмена.
Чаще всего за помощью обращались ИП и юрлица — 51,4% и 40% соответственно.
«В сравнении с предыдущими годами, в 2022 году, я и мои представители стали в два раза чаще принимать участие в судебных процессах на стороне бизнеса в качестве третьего лица, не заявляющего самостоятельных требований. Это говорит о повышении доверия к институту уполномоченного со стороны предпринимательского сообщества», — заявил Головнёв.
Ранее, по сообщениям ФБА «Экономика сегодня», депутат законодательного собрания Санкт-Петербурга Дмитрий Панов высказался о мерах поддержки для бизнеса.",2022-10-03,бизнес омбудсмен подмосковья получил почти обращений с начала года,бизнес омбудсмен подмосковье получить обращение начало год
303,https://russian.rt.com/russia/news/1056101-dns-utechka-dannye,В DNS сообщили об утечке персональных данных клиентов и сотрудников,"«В компании DNS была обнаружена утечка персональных данных клиентов и сотрудников», — говорится в сообщении компании.
Отмечается, что атака производилась группировкой хакеров с серверов, расположенных за пределами России.
Ранее CDEK.Shopping сообщил об изучении утёкшей в сеть базы данных пользователей.
Эксперт по безопасности Ольга Бочкова в беседе с «Известиями» рассказала, как вычислить телефонных мошенников.",2022-10-02,в dns сообщили об утечке персональных данных клиентов и сотрудников,dns сообщить утечка персональный данные клиент сотрудник
304,https://russian.rt.com/business/news/1055365-forum-moskva-biznes,Форум «Инфраструктура инноваций» пройдёт 5 октября в Москве,"Об этом сообщает kp.ru.
Как заявила заммэра Наталья Сергунина, форум приурочен к десятилетию городской программы развития технопарков.
«За десять лет в Москве открыто 42 технопарка, ещё семь — в процессе создания», — отметила Сергунина.
По её словам, в действующих технопарках размещается более 2 тыс. компаний, в которых работают около 70 тыс. специалистов.
«Предстоящий форум станет крупным событием для технологического бизнеса страны. Участники смогут расширить деловые контакты, обсудить тренды и вместе проанализировать передовые практики», — добавила Сергунина.
Ранее НСН сообщала, что в Москве число субъектов МСП увеличилось на 6% за год.",2022-09-30,форум инфраструктура инноваций пройдет октября в москве,форум инфраструктура инновация пройти октябрь москва
305,https://russian.rt.com/russia/news/1055276-apple-rossiya-kirgiziya,Корпорация Apple перевела сотрудников из России в Киргизию,"Как сообщает «Коммерсантъ» со ссылкой на источники газеты «Ведомости», подготовка к переезду началась весной. Примерно в то же время топ-сотрудники корпорации переехали в Дубай и Лондон.
По информации издания, в Google также предлагали персоналу перевод в другие страны, однако многие работники отказались из-за климата и дальности переезда.
По данным «Известий», цена iPhone в России за месяц снизилась на 30%.
В конце апреля российские пользователи подали иск к Apple на 90 млн рублей из-за прекращения работы платёжного сервиса Apple Pay на территории России. ",2022-09-30,корпорация apple перевела сотрудников из россии в киргизию,корпорация apple перевести сотрудник россия киргизия
306,https://russian.rt.com/sport/news/1055235-everton-prodazha-amerikanec-futbol,Financial Times: «Эвертон» могут продать американскому бизнесмену за €450 млн,"По информации Financial Times, стороны близки к договорённости.
В сезоне-2022/23 Английской премьер-лиги (АПЛ) «Эвертон» занимает 13-е место в турнирной таблице чемпионата, набрав семь очков.
13 сентября английский клуб подписал контракт с экс-вратарём московского «Локомотива» Элдином Якуповичем.
Ранее мать болельщика «Эвертона», которому нападающий «Манчестер Юнайтед» Криштиану Роналду разбил телефон, высказалась о португальском футболисте.",2022-09-30,financial times эвертон могут продать американскому бизнесмену за млн,financial times эвертон мочь продать американский бизнесмен млн
307,https://russian.rt.com/world/news/1054924-lego-kubiki-sankcii,Магазины LEGO в России откроются под названием «Мир кубиков»,"Об этом сообщили в Inventive Retail Group.
«Inventive Retail Group... объявляет о запуске нового мультибрендового ретейл-проекта «Мир кубиков». Новая сеть появится на месте сертифицированных магазинов LEGO», — приводит сообщение РИА Новости.
Отмечается, что «Мир кубиков» будет состоять из 65 магазинов более чем в 20 городах России. Также сохранится онлайн-магазин с доставкой по стране.
В компании отметили, что LEGO останется в списке брендов и будет закупаться посредством параллельного импорта. С ноября 2022 года магазины сети начнут пополняться новыми брендами.
В марте стало известно, что датская компания LEGO Group приостанавливает поставки в Россию.
В июне президент России Владимир Путин подписал закон, легализующий на 2022 год параллельный импорт.
Позднее Министерство промышленности и торговли России утвердило изменения в перечень товаров для параллельного импорта, добавив в него продукцию Siemens, BMW и LEGO.",2022-09-29,магазины lego в россии откроются под названием мир кубиков,магазин lego россия открыться название мир кубик
308,https://russian.rt.com/opinion/1054731-petrovskii-ssha-evropa-krizis-germaniya-promyshlennost,Цена за Pax Americana,"Бегут не только россияне и не только в Грузию и Казахстан. Немцы тоже бегут. Но не на велосипедах, а целыми предприятиями.
Также по теме
«Им придётся очень нелегко»: как США предрекли Евросоюзу тяжёлую зиму из-за проблем в энергосфере
ЕС будет сложно пережить зимние месяцы, заявила министр финансов США Джанет Йеллен. Она отметила, что уже в начале декабря Европа,...
В The Wall Street Journal вышла любопытная статья о том, что немецкие химические концерны начали релокацию в Америку. На секундочку, химия и фармацевтика — это один из ключевых бизнесов страны. Чуть раньше подобная информация появилась в немецкой Handelsblatt, только там речь идёт о целом Volkswagen: руководство компании заявило, что, если цены на энергетику в Европе останутся на прежнем уровне, им придётся переезжать в США.
Просто представьте себе: один из самых известных в мире автомобильных производителей, практически лицо Германии, может покинуть страну!
«А что случилось?» — как любят иронизировать сейчас в интернете. Действительно, что? С февраля Европу вынудили отдать чуть ли не всё своё вооружение Украине, чтобы подогревать войну. Европу вынудили ввести санкции против России, из-за которых разразился небывалый энергетический кризис. Теперь что-то непонятное случилось с газопроводом, за что экс-глава МИД Польши и депутат Европарламента Радек Сикорский уже успел поблагодарить Америку.
«Ищите, кому выгодно» — избитая формула, дискредитировавшая себя много раз, но сейчас самое время вспомнить о ней.
Европа без тепла, Европа без электричества, а теперь ещё и без денег — интересно, готовы ли жители ЕС платить такую цену за Pax Americana?
Впрочем, если что, им всегда можно рассказать про страшную русскую угрозу.
Точка зрения автора может не совпадать с позицией редакции.",2022-09-28,цена за pax americana,цена pax americana
309,https://russian.rt.com/russia/news/1054233-vk-prodast-mygames,VK продаст компанию MY.GAMES за $642 млн,"«VK сообщает о завершении многоэтапной процедуры выбора покупателя игрового направления и объявляет о продаже 100% компании MY.GAMES Александру Чачава, управляющему партнёру LETA Capital», — сообщила VK.
Сделка включает все активы MY.GAMES, в том числе принадлежащие компании студии и игровые продукты.
При этом сооснователь MY.GAMES Владимир Никольский покинет VK и продолжит развивать MY.GAMES.
Ранее VK получила права на товарный знак контентной платформы «Дзен».
Также в пресс-службе VK, которой теперь принадлежит сервис «Дзен», рассказали, что поиск по новостям появится в ближайшие две недели.",2022-09-27,vk продаст компанию my games за млн,vk продать компания my games млн
310,https://russian.rt.com/business/news/1054096-podmoskove-investicii-proekty,Более 120 инвестпроектов в сфере импортозамещения реализуется в Подмосковье,"Об этом сообщает интернет-издание «Подмосковье сегодня».
Планируется создать более 14,5 тыс. новых рабочих мест.
«Почти две трети из этих проектов планируется реализовать до конца 2023 года, при этом восемь мы уже реализовали», — уточнила заместитель председателя правительства — министр инвестиций, промышленности и науки региона Екатерина Зиновьева.
Ранее ФБА «Экономика сегодня» передавало, что глава Роскачества Максим Протасов прокомментировал ситуацию с импортозамещением.",2022-09-27,более инвестпроектов в сфере импортозамещения реализуется в подмосковье,инвестпроект сфера импортозамещение реализоваться подмосковье
311,https://russian.rt.com/russia/news/1053999-mishustin-garantii-mobilizaciya,Мишустин: прорабатываются дополнительные решения для предоставления льгот мобилизованным,"«Прорабатываются и другие решения для помощи таким гражданам, предоставления им различных льгот», — цитирует его РИА Новости.
Мишустин призвал представителей бизнеса, крупных компаний, профсоюзов, экспертов выдвигать свои предложения.
Он также отметил, что обеспечение трудовых гарантий мобилизованным требует корректировки действующего законодательства.
Минцифры России ранее опубликовало список из 195 специальностей, которые подходят под критерии освобождения от частичной мобилизации среди работников сферы IT и связи.
Первый заместитель председателя Совета Федерации Андрей Турчак, заместитель председателя СФ Николай Журавлёв, сенаторы Андрей Клишас и Ирина Рукавишникова внесли в Госдуму законопроект о кредитных каникулах для участников специальной военной операции.",2022-09-27,мишустин прорабатываются дополнительные решения для предоставления льгот мобилизованным,мишустин прорабатываться дополнительный решение предоставление льгота мобилизовать
312,https://russian.rt.com/business/news/1053616-stroitelstvo-regiony-vstrecha,Подмосковный Центр содействия строительству и Свердловская область обменялись опытом,"Во встрече участвовали первый замминистра по управлению государственным имуществом Елена Николаева и исполняющая обязанности главы Мининвеста региона Елена Хлыбова, сообщает телеканал «360».
Основной темой встречи стал вопрос о планировании открытия ЦСС в Свердловской области, сообщает интернет-издание «Подмосковье сегодня».
На мероприятии обсудили основные аспекты, возникающие при проектировании и строительстве.
Ранее сообщалось, что в Москве на участках бывших промзон и на заброшенных и неэффективно используемых территориях создадут более 55 тыс. новых рабочих мест.",2022-09-26,подмосковный центр содействия строительству и свердловская область обменялись опытом,подмосковный центр содействие строительство свердловский область обменяться опыт
313,https://russian.rt.com/russia/news/1053092-mazda-rossiya-proizvodstvo,Nikkei: Mazda рассматривает возможность прекращения производства авто в России,"Как сообщает газета Nikkei, сборка машин осуществляется на совместном с компанией Sollers во Владивостоке предприятии. 
Отмечается, что производство уже было приостановлено, и теперь Mazda рассматривает полное прекращение сборки автомобилей. При этом решение о прекращении продаж или техобслуживания транспортных средств пока не принято.
Ранее компания Toyota официально объявила о прекращении производства автомобилей в России.
В августе в Москве реализовали почти 3,2 тыс. новых легковых автомобилей китайских брендов, что составило 49,7% от общего объёма столичного авторынка.",2022-09-25,nikkei mazda рассматривает возможность прекращения производства авто в россии,nikkei mazda рассматривать возможность прекращение производство авто россия
314,https://russian.rt.com/russia/news/1052623-region-biznes-podderzhka,В Краснодарском крае рассказали о работе по поддержке самозанятых,"Об этом сообщает «Кубань 24» со ссылкой на пресс-службу региональной администрации.
По сравнению с 2021 годом число льготных займов выросло в 4,5 раза, объём — более чем на 14 млн рублей.
«Сегодня наша задача — своевременно реагировать на внешнеэкономические изменения и создавать благоприятные условия для развития малого предпринимательства, а также для самозанятых граждан. Поэтому мы ежегодно расширяем программы по обеспечению финансовых и нефинансовых мер поддержки», — заявил руководитель Департамента инвестиций и развития малого и среднего предпринимательства региона Василий Воробьёв.
Ранее телеканал «360» сообщал, что в Московской области ввели новые меры поддержки для сельхозпроизводителей.",2022-09-23,в краснодарском крае рассказали о работе по поддержке самозанятых,краснодарский край рассказать работа поддержка самозанятой
315,https://russian.rt.com/business/news/1056871-moskva-biznes-ekonomika,В Москве оборот предприятий торговли и услуг превысил 11 трлн рублей за восемь месяцев,"Об этом информирует НСН.
«Выручка предприятий торговли за восемь месяцев выросла на 25,3% по сравнению с тем же периодом прошлого года и составила 5,1 трлн рублей. Например, объём продаж непродовольственной торговли прибавил сразу 50,2%, достигнув 3,5 трлн рублей. Продовольственная торговля показала прирост в 7,6% — до 887,8 млрд рублей», — уточнил заммэра.
По словам Ефимова, предприятия сферы услуг за этот период нарастили оборот на 19,3% — он приблизился к 6,2 трлн рублей.
Ранее телеканал «360» сообщал, что в подмосковных Люберцах в сентябре состоялся Межрегиональный форум «Женский бизнес. Путь к успеху».",2022-10-04,в москве оборот предприятий торговли и услуг превысил трлн рублей за восемь месяцев,москва оборот предприятие торговля услуга превысить трлн рубль восемь месяц
316,https://russian.rt.com/business/news/1056452-moskva-investicii-biznes,"Инвестиции в экономику Москвы превысили 1,9 трлн рублей в I полугодии","Об этом пишет ИА REGNUM.
Инвестиции крупного и среднего бизнеса за январь — июнь составили 1,7 трлн рублей. Больше всего средств столичные компании инвестировали в машины и оборудование — 32,4% от общей суммы.
Ранее НСН сообщала, что Москва заключила контракты на 976 млрд рублей с начала года.",2022-10-03,инвестиции в экономику москвы превысили трлн рублей в i полугодии,инвестиция экономика москва превысить трлн рубль i полугодие
317,https://russian.rt.com/russia/news/1056463-region-biznes-podderzhka,Бизнес-омбудсмен Подмосковья получил почти 2000 обращений с начала года,"Об этом сообщает интернет-издание «Подмосковье сегодня» со ссылкой на пресс-службу бизнес-омбудсмена.
Чаще всего за помощью обращались ИП и юрлица — 51,4% и 40% соответственно.
«В сравнении с предыдущими годами, в 2022 году, я и мои представители стали в два раза чаще принимать участие в судебных процессах на стороне бизнеса в качестве третьего лица, не заявляющего самостоятельных требований. Это говорит о повышении доверия к институту уполномоченного со стороны предпринимательского сообщества», — заявил Головнёв.
Ранее, по сообщениям ФБА «Экономика сегодня», депутат законодательного собрания Санкт-Петербурга Дмитрий Панов высказался о мерах поддержки для бизнеса.",2022-10-03,бизнес омбудсмен подмосковья получил почти обращений с начала года,бизнес омбудсмен подмосковье получить обращение начало год
318,https://russian.rt.com/russia/news/1056101-dns-utechka-dannye,В DNS сообщили об утечке персональных данных клиентов и сотрудников,"«В компании DNS была обнаружена утечка персональных данных клиентов и сотрудников», — говорится в сообщении компании.
Отмечается, что атака производилась группировкой хакеров с серверов, расположенных за пределами России.
Ранее CDEK.Shopping сообщил об изучении утёкшей в сеть базы данных пользователей.
Эксперт по безопасности Ольга Бочкова в беседе с «Известиями» рассказала, как вычислить телефонных мошенников.",2022-10-02,в dns сообщили об утечке персональных данных клиентов и сотрудников,dns сообщить утечка персональный данные клиент сотрудник
319,https://russian.rt.com/business/news/1055365-forum-moskva-biznes,Форум «Инфраструктура инноваций» пройдёт 5 октября в Москве,"Об этом сообщает kp.ru.
Как заявила заммэра Наталья Сергунина, форум приурочен к десятилетию городской программы развития технопарков.
«За десять лет в Москве открыто 42 технопарка, ещё семь — в процессе создания», — отметила Сергунина.
По её словам, в действующих технопарках размещается более 2 тыс. компаний, в которых работают около 70 тыс. специалистов.
«Предстоящий форум станет крупным событием для технологического бизнеса страны. Участники смогут расширить деловые контакты, обсудить тренды и вместе проанализировать передовые практики», — добавила Сергунина.
Ранее НСН сообщала, что в Москве число субъектов МСП увеличилось на 6% за год.",2022-09-30,форум инфраструктура инноваций пройдет октября в москве,форум инфраструктура инновация пройти октябрь москва
320,https://russian.rt.com/russia/news/1055276-apple-rossiya-kirgiziya,Корпорация Apple перевела сотрудников из России в Киргизию,"Как сообщает «Коммерсантъ» со ссылкой на источники газеты «Ведомости», подготовка к переезду началась весной. Примерно в то же время топ-сотрудники корпорации переехали в Дубай и Лондон.
По информации издания, в Google также предлагали персоналу перевод в другие страны, однако многие работники отказались из-за климата и дальности переезда.
По данным «Известий», цена iPhone в России за месяц снизилась на 30%.
В конце апреля российские пользователи подали иск к Apple на 90 млн рублей из-за прекращения работы платёжного сервиса Apple Pay на территории России. ",2022-09-30,корпорация apple перевела сотрудников из россии в киргизию,корпорация apple перевести сотрудник россия киргизия
321,https://russian.rt.com/sport/news/1055235-everton-prodazha-amerikanec-futbol,Financial Times: «Эвертон» могут продать американскому бизнесмену за €450 млн,"По информации Financial Times, стороны близки к договорённости.
В сезоне-2022/23 Английской премьер-лиги (АПЛ) «Эвертон» занимает 13-е место в турнирной таблице чемпионата, набрав семь очков.
13 сентября английский клуб подписал контракт с экс-вратарём московского «Локомотива» Элдином Якуповичем.
Ранее мать болельщика «Эвертона», которому нападающий «Манчестер Юнайтед» Криштиану Роналду разбил телефон, высказалась о португальском футболисте.",2022-09-30,financial times эвертон могут продать американскому бизнесмену за млн,financial times эвертон мочь продать американский бизнесмен млн
322,https://russian.rt.com/world/news/1054924-lego-kubiki-sankcii,Магазины LEGO в России откроются под названием «Мир кубиков»,"Об этом сообщили в Inventive Retail Group.
«Inventive Retail Group... объявляет о запуске нового мультибрендового ретейл-проекта «Мир кубиков». Новая сеть появится на месте сертифицированных магазинов LEGO», — приводит сообщение РИА Новости.
Отмечается, что «Мир кубиков» будет состоять из 65 магазинов более чем в 20 городах России. Также сохранится онлайн-магазин с доставкой по стране.
В компании отметили, что LEGO останется в списке брендов и будет закупаться посредством параллельного импорта. С ноября 2022 года магазины сети начнут пополняться новыми брендами.
В марте стало известно, что датская компания LEGO Group приостанавливает поставки в Россию.
В июне президент России Владимир Путин подписал закон, легализующий на 2022 год параллельный импорт.
Позднее Министерство промышленности и торговли России утвердило изменения в перечень товаров для параллельного импорта, добавив в него продукцию Siemens, BMW и LEGO.",2022-09-29,магазины lego в россии откроются под названием мир кубиков,магазин lego россия открыться название мир кубик
323,https://russian.rt.com/opinion/1054731-petrovskii-ssha-evropa-krizis-germaniya-promyshlennost,Цена за Pax Americana,"Бегут не только россияне и не только в Грузию и Казахстан. Немцы тоже бегут. Но не на велосипедах, а целыми предприятиями.
Также по теме
«Им придётся очень нелегко»: как США предрекли Евросоюзу тяжёлую зиму из-за проблем в энергосфере
ЕС будет сложно пережить зимние месяцы, заявила министр финансов США Джанет Йеллен. Она отметила, что уже в начале декабря Европа,...
В The Wall Street Journal вышла любопытная статья о том, что немецкие химические концерны начали релокацию в Америку. На секундочку, химия и фармацевтика — это один из ключевых бизнесов страны. Чуть раньше подобная информация появилась в немецкой Handelsblatt, только там речь идёт о целом Volkswagen: руководство компании заявило, что, если цены на энергетику в Европе останутся на прежнем уровне, им придётся переезжать в США.
Просто представьте себе: один из самых известных в мире автомобильных производителей, практически лицо Германии, может покинуть страну!
«А что случилось?» — как любят иронизировать сейчас в интернете. Действительно, что? С февраля Европу вынудили отдать чуть ли не всё своё вооружение Украине, чтобы подогревать войну. Европу вынудили ввести санкции против России, из-за которых разразился небывалый энергетический кризис. Теперь что-то непонятное случилось с газопроводом, за что экс-глава МИД Польши и депутат Европарламента Радек Сикорский уже успел поблагодарить Америку.
«Ищите, кому выгодно» — избитая формула, дискредитировавшая себя много раз, но сейчас самое время вспомнить о ней.
Европа без тепла, Европа без электричества, а теперь ещё и без денег — интересно, готовы ли жители ЕС платить такую цену за Pax Americana?
Впрочем, если что, им всегда можно рассказать про страшную русскую угрозу.
Точка зрения автора может не совпадать с позицией редакции.",2022-09-28,цена за pax americana,цена pax americana
324,https://russian.rt.com/russia/news/1054233-vk-prodast-mygames,VK продаст компанию MY.GAMES за $642 млн,"«VK сообщает о завершении многоэтапной процедуры выбора покупателя игрового направления и объявляет о продаже 100% компании MY.GAMES Александру Чачава, управляющему партнёру LETA Capital», — сообщила VK.
Сделка включает все активы MY.GAMES, в том числе принадлежащие компании студии и игровые продукты.
При этом сооснователь MY.GAMES Владимир Никольский покинет VK и продолжит развивать MY.GAMES.
Ранее VK получила права на товарный знак контентной платформы «Дзен».
Также в пресс-службе VK, которой теперь принадлежит сервис «Дзен», рассказали, что поиск по новостям появится в ближайшие две недели.",2022-09-27,vk продаст компанию my games за млн,vk продать компания my games млн
325,https://russian.rt.com/business/news/1054096-podmoskove-investicii-proekty,Более 120 инвестпроектов в сфере импортозамещения реализуется в Подмосковье,"Об этом сообщает интернет-издание «Подмосковье сегодня».
Планируется создать более 14,5 тыс. новых рабочих мест.
«Почти две трети из этих проектов планируется реализовать до конца 2023 года, при этом восемь мы уже реализовали», — уточнила заместитель председателя правительства — министр инвестиций, промышленности и науки региона Екатерина Зиновьева.
Ранее ФБА «Экономика сегодня» передавало, что глава Роскачества Максим Протасов прокомментировал ситуацию с импортозамещением.",2022-09-27,более инвестпроектов в сфере импортозамещения реализуется в подмосковье,инвестпроект сфера импортозамещение реализоваться подмосковье
326,https://russian.rt.com/russia/news/1053999-mishustin-garantii-mobilizaciya,Мишустин: прорабатываются дополнительные решения для предоставления льгот мобилизованным,"«Прорабатываются и другие решения для помощи таким гражданам, предоставления им различных льгот», — цитирует его РИА Новости.
Мишустин призвал представителей бизнеса, крупных компаний, профсоюзов, экспертов выдвигать свои предложения.
Он также отметил, что обеспечение трудовых гарантий мобилизованным требует корректировки действующего законодательства.
Минцифры России ранее опубликовало список из 195 специальностей, которые подходят под критерии освобождения от частичной мобилизации среди работников сферы IT и связи.
Первый заместитель председателя Совета Федерации Андрей Турчак, заместитель председателя СФ Николай Журавлёв, сенаторы Андрей Клишас и Ирина Рукавишникова внесли в Госдуму законопроект о кредитных каникулах для участников специальной военной операции.",2022-09-27,мишустин прорабатываются дополнительные решения для предоставления льгот мобилизованным,мишустин прорабатываться дополнительный решение предоставление льгота мобилизовать
327,https://russian.rt.com/business/news/1053616-stroitelstvo-regiony-vstrecha,Подмосковный Центр содействия строительству и Свердловская область обменялись опытом,"Во встрече участвовали первый замминистра по управлению государственным имуществом Елена Николаева и исполняющая обязанности главы Мининвеста региона Елена Хлыбова, сообщает телеканал «360».
Основной темой встречи стал вопрос о планировании открытия ЦСС в Свердловской области, сообщает интернет-издание «Подмосковье сегодня».
На мероприятии обсудили основные аспекты, возникающие при проектировании и строительстве.
Ранее сообщалось, что в Москве на участках бывших промзон и на заброшенных и неэффективно используемых территориях создадут более 55 тыс. новых рабочих мест.",2022-09-26,подмосковный центр содействия строительству и свердловская область обменялись опытом,подмосковный центр содействие строительство свердловский область обменяться опыт
